,English Paragraph,Chinese Paragraph
3694," 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
hedges), the timing of the market value hedge adjustments 
relative to the portfolio’s Valuation Point, and transaction costs 
attributable to hedging activity.  
These hedging transactions for the Currency Hedged Share 
Classes are intended to be entered into continuously whether 
the Offered Currency in which the Currency Hedged Share 
Class is denominated is declining or increasing in value relative 
to other currencies.  Therefore such hedging will tend to protect 
investors in the relevant Currency Hedged Share Classes to 
the extent the value of the Currency Hedged Share Class's 
Offered Currency rises relative to the portfolio's base currency.  
Conversely, such hedging will tend to prevent investors from 
benefiting if the value of a Currency Hedged Share Class's 
Offered Currency decreases relative to the portfolio's base 
currency.  
Currency Hedged Share Classes do not affect the investment 
management of the portfolio’s underlying assets since it is only 
the net asset value of the Currency Hedged Share Classes 
which is hedged, not the portfolio’s underlying assets.  
In contrast to the rationale underlying Currency Hedged Share 
Classes, a particular portfolio’s investment strategy may seek 
to fully or partially hedge currency exposures arising from 
some or all of the portfolio’s underlying assets to the portfolio’s 
base currency to the extent indicated in the description of a 
particular portfolio’s investment strategy set out in Section I.  
This type of hedging activity (i.e., hedging the currency 
exposures of a portfolio’s investments against the portfolio’s 
base currency) is separate from – and unrelated to – the 
hedging activity discussed under this heading relating solely to 
Currency Hedged Share Classes.    
To the extent a particular portfolio offers Currency Hedged 
Share Classes and seeks also to fully or partially hedge 
currency exposures relating to some or all of the portfolio’s 
underlying assets to the portfolio’s base currency, certain costs 
and inefficiencies could result. 
Finally, shareholders should be aware that the level of leverage 
of Currency Hedged Share Classes will automatically be higher 
than the expected level of leverage disclosed for a specific 
portfolio. Indeed, such expected level of leverage does not take 
into account the hedging transactions used for the Currency 
Hedged Share Classes. 
The attention of Shareholders is drawn to the fact that the Fund 
is authorized, from time to time, to create and offer Currency 
Hedged Share Classes in addition to those currently described 
within the present Prospectus. Such newly created Currency 
Hedged Share Classes will be reflected in the next update of 
the Prospectus.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3695,"BRL Hedged Share Classes. Class BRL H Shares are 
reserved for investors domiciled in Brazil and will adopt a 
different hedging model than used for our other hedged share 
classes due to the currency controls in Brazil. As BRL is a 
restricted currency, Class BRL H Shares cannot be 
denominated in BRL but instead will be denominated in the 
base currency of the relevant Portfolio. BRL currency hedging 
will be obtained by converting the NAV of the Class BRL H 
Shares into BRL using financial derivative instruments (e.g. a 
non-deliverable currency forward). It is expected that the NAV 
of Class BRL H Shares will fluctuate in line with changes in the 
exchange rate between the BRL and base currency of the 
relevant Portfolio and performance may therefore differ, 
including significantly, from that of other Share Classes in the ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3696,II-6 ,II-6 
3697,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
3698,"same Portfolio. Any profit or loss as well as costs and 
expense resulting from these transactions will be reflected 
exclusively in the NAV of Class BRL H Shares. ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
3699,"A complete list of available Share Classes may be obtained 
from www.alliancebernstein.com or the registered office of 
the Management Company. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3700,"For some fixed-income portfolios, the Management 
Company may offer Partial Duration Hedged Share 
Classes. Partial Duration Hedged Share Classes intend to 
provide investors a return that is less sensitive to interest 
rate fluctuations by partially hedging the duration of the 
overall Portfolio for shareholders in the Partial Duration 
Hedged Share Class. Changes in interest rates will 
influence the total return of such fixed-income portfolios.  
The partial duration hedging strategy is designed to reduce, 
however it may not eliminate, the interest rate risk of the 
overall portfolio in the Partial Duration Hedged Share Class. 
Managing the interest rate risk at the Partial Duration 
Hedged Share Classes level does not affect the investment 
management of the portfolio’s underlying assets since the 
financial derivative instrument transactions used to hedge 
the interest rate risk will be performed at the net asset value 
(NAV) of the Partial Duration Hedged Share Classes.  
Shareholders should be aware that Partial Duration Hedged 
Share Classes may still have significant sensitivity to 
changes in interest rates, which would impact the NAV of 
the Partial Duration Hedged Share Class. 
Such partial duration hedging strategy will be achieved 
through the use of financial derivative instruments, such as 
interest rate futures. Expenses incurred as a result of such 
hedging activity will be borne on a pro rata basis by all 
Partial Duration Hedged Share Classes issued within the 
same portfolio. 
Finally, shareholders should be aware that the level of 
leverage of Partial Duration Hedged Share Classes will 
automatically be higher than the expected level of leverage 
disclosed for a specific portfolio. Indeed, such expected 
level of leverage does not take into account the hedging 
transactions used for the Partial Duration Hedged Share 
Classes. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3701,"Issuance and Settlement 
Payments for Shares subscribed for should accompany the 
investor's Application Form, since the application will be 
accepted only upon identification of the payment made in 
respect of the Shares to be purchased, or, if Shares are 
subscribed for and purchased from or through an 
authorized selling dealer or the Distributor, payment should 
be made within three Business Days of the relevant Trade 
Date, unless otherwise stated in the portfolio details of a 
Portfolio in Part I, and in accordance with such procedures 
as may be adopted by such dealer and approved by the 
Distributor and the Fund.  Different settlement periods may 
apply in certain jurisdictions where the Shares are sold.  
Payment for Shares purchased directly from the Fund are 
payable to the account of the Fund as indicated in the 
Application Form.  Upon receipt of payment by the Fund, 
the Management Company will issue whole and fractional 
Shares and certificates, if requested.  Confirmations will be ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3702," 
 
 
 
delivered to the investor.  Payment for shares and the 
applicable sales charge, if any, must be made in an Offered 
Currency. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3703,"Confirmation Notes and Certificates 
A confirmation note will be sent to the investor on the Business 
Day following the issue of the Shares, providing full details of 
the transaction.  All Shares are issued in registered form, and 
the Fund's Shareholder register in respect of the relevant 
portfolio maintained by the Transfer Agent is evidence of 
ownership.  The Management Company treats the registered 
owner of a Share as the absolute and beneficial owner thereof.  
Shares are issued in uncertificated form unless a certificate is 
specifically requested at the time of application.  The 
uncertificated form enables the Fund to effect redemption 
instructions without undue delay and consequently the Fund 
recommends that investors maintain their Shares in 
uncertificated form.  If an investor requests Shares to be issued 
in certificated form, a Share certificate is sent either to the 
investor or that person's nominated agent (at the investor risk) 
normally within 28 days of completion of the registration 
process or transfer, as the case may be, of the Shares. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3704,"AB Funds Accounts and Account Numbers 
Upon acceptance of an investor's Application Form in 
connection with the investor's first investment in an AB fund, 
the Transfer Agent will establish an account in its Shareholder 
processing system in which the investor's AB fund Shares will 
be recorded.  This account reflects an investor's share position 
in the relevant AB fund.  An AB funds account will be 
denominated in the Offered Currency in which the investor's 
first AB fund subscription is made.  An AB funds account can 
only be denominated in one currency and thus will only record ","AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
3705,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
3706,"holdings of Shares denominated in the same currency.  
Investors desiring to hold Shares in multiple Offered 
Currencies will therefore have more than one AB funds 
account and will receive separate statements with respect 
to each such account.  Investors will be given an AB funds 
account number with respect to each AB funds account 
they establish, and this number, together with the investor's 
pertinent details, constitutes proof of identity.  This AB 
funds account number should be used for all future dealings 
by the investor in respect of any AB fund Shares of such 
accounts.  Any change to an investor's personal details, 
loss of AB funds account number(s) or loss of Share 
certificates must be notified immediately to the Transfer 
Agent in writing.  The Fund reserves the right to require an 
indemnity or verification of identity countersigned by a bank, 
stockholder or other party acceptable to it before accepting 
such instructions. ","AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
3707,"Subscriptions in Kind 
The Management Company may accept securities as 
payment for Shares at its discretion provided that the 
contribution of such securities are consistent with policies 
pursued by the Investment Manager and will not result in a 
breach of the relevant portfolio's investment objective and 
policies or the Fund's investment restrictions.  In such case, 
an auditor's report will be necessary to value the 
contribution in kind.  Expenses in connection with the 
establishment of such report and any other expenses in 
connection with the subscription in kind will be borne by the 
subscriber that has chosen this method of payment, or by 
the Fund when the quantifiable benefits to the Fund exceed 
the cost of such auditor’s report. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3708,II-7 ,II-7 
3709,"Shareholders may redeem their Shares on any Business Day 
through the Distributor or any authorized dealer, or by 
transmitting an irrevocable redemption order by facsimile or 
mail to the Management Company or its authorized agent.  The 
redemption order must clearly state the name of the Fund and 
portfolio, the Share class, the number of Shares to be 
redeemed or the total value (in the Offered Currency in which 
the Shareholder has elected to purchase the Shares) of Shares 
to be redeemed, together with the Shareholder's name and AB 
funds account number (for that Offered Currency) as registered 
with the Fund.  Payments of redemption proceeds will be made 
in the Offered Currency in which the Shareholder's AB funds 
account is denominated. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3710,"If, as a result of any redemption request, a Shareholder's AB 
funds account falls below $1,000 (or the equivalent amount in 
another Offered Currency depending on the currency in which 
the Shareholder's AB funds account is denominated), such 
redemption request may be deemed to apply to the 
Shareholder's entire AB funds account. ","AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
3711,"The redemption price will be equal to the Net Asset Value per 
Share in the relevant Offered Currency of the relevant share 
class determined for the appropriate Trade Date as of the 
Valuation Point, which is 4:00 p.m. U.S. Eastern time on such 
Trade Date, unless otherwise provided for in the relevant part 
of Section I relating to a specific portfolio.  Redemption 
requests for a given Trade Date may be accepted up to the 
Order Cut-off Time (4:00 p.m. U.S. Eastern time, or otherwise 
as defined in the relevant part of Section I relating to a specific 
portfolio) for such Trade Date.  Valid and complete redemption 
requests received within this time frame are normally 
processed as of such Trade Date at the redemption price as 
stated above.  Redemption requests received after such Order 
Cut-off Time (4:00 p.m. U.S. Eastern time, or otherwise as 
defined in the relevant part of Section I relating to a specific 
portfolio) will be processed on the next Business Day at the 
appropriate Net Asset Value determined as of the Valuation 
Point on such Business Day, in which case the Trade Date in 
respect of such redemption request will be such Business Day.  
Depending on the Net Asset Value calculated with respect to a 
given Trade Date, the redemption price of Shares may be 
higher or lower than the price paid for such Shares at the time 
of subscription. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3712,"Unless otherwise provided for in the relevant part of Section I 
relating to a specific portfolio, payment of the redemption 
proceeds (the redemption price less any applicable contingent 
deferred sales charge) will be made by the Depositary or its 
agents in the relevant Offered Currency, usually within three 
Business Days after the relevant Trade Date to the account of 
the registered Shareholder, provided that (i) a redemption 
order has been received by the Management Company, or its 
authorized agent, in the appropriate form and (ii) the 
certificates (if issued) for the Shares to be redeemed have 
been received by the Management Company, or its authorized 
agent, prior to the Valuation Point with respect to such Trade 
Date. Notwithstanding the foregoing, if in exceptional 
circumstances the liquidity of the Fund is not sufficient to 
enable payment or redemption to be made within this period, 
such payment will be made as soon as reasonably practicable 
thereafter, but without interest. Payments can be made only to ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3713,II-8 ,II-8 
3714,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
3715,"the registered owner of the Shares; third party payments 
cannot be made.  Payments will be made by wire transfer.  
Please note that payment of redemption proceeds may be 
delayed if the Management Company, or its authorized 
agent, has not received all required original documentation 
from Shareholders or their financial advisers, as 
appropriate, via mail.  Wire transfer instructions should be 
included in an investor's original Application Form, 
otherwise wire transfer instructions must be received (and 
verified) by the Management Company, or its authorized 
agent, via mail or facsimile transmission before wire 
transfers of redemption proceeds may be sent.   ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3716,"The Management Company will endeavor to ensure, for 
any Trade Date, that an appropriate level of liquidity is 
maintained in respect of each portfolio so that redemption 
of Shares may, under normal circumstances, be made 
promptly on such date to Shareholders requesting 
redemption.  However, the Management Company may 
limit the redemption of Shares in the event the Fund 
receives as of any Trade Date requests to redeem more 
than 10% of the Shares of the relevant portfolio or class 
outstanding as of such date (or such lower percentage as 
may be stated in the description of such portfolio in Section 
I), in which case Shares of the portfolio or class may be 
redeemed on a pro rata basis.  Any part of a redemption 
request to which effect is not given by reason of the 
exercise of this power by or on behalf of the Management 
Company will be treated as if a request has been made in 
respect of the next Trade Date and all following Trade 
Dates (in relation to which the Management Company has 
the same power) until the original request has been 
satisfied in full.  Any such limitation will be notified to those 
Shareholders who have applied for redemption.  In addition, 
under certain circumstances, the Management Company 
may suspend the right of Shareholders to redeem Shares.  
See ""Additional Information—Suspension of Issue, 
Redemption and Exchange of Shares and Calculation of 
Net Asset Value."" ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3717,"Transfers 
Except as set out below and under ""Additional 
Information—Restrictions on Ownership,"" the Shares which 
are listed are freely transferable. The Shares may not be 
transferred to U.S. Persons without the consent of the 
Management Company. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3718,"Redemptions in Kind 
If requested by the Shareholder, redemptions may be made 
in kind at the discretion of the Management Company.  
Expenses in connection with the redemption in kind (mainly 
costs relating to the drawing up of an auditor's report) will 
be borne by the Shareholder that has chosen this method 
of redemption or by the Fund when the quantifiable benefits 
to the Fund exceed the cost of such auditor’s report.  To the 
extent reasonably possible, such redemption in kind will 
normally be made on a pro rata basis of all investments 
held by the Fund (having always due regard to and/or 
protecting the interests of the Fund).  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3719,"Exchange for Shares of Other Portfolios within the Fund 
and Certain Other AB Funds 
Shareholders have the option to exchange Shares for Shares 
of the same class of any other portfolio of the Fund or Shares 
of the same class of certain other AB funds.  Any such 
exchange will be subject to the minimum investment 
requirements and any other applicable terms set out in the 
Prospectus relating to the Shares of the portfolio of the Fund or 
other AB fund to be acquired upon exchange.  The 
Management Company reserves the right, in its discretion, to 
waive any applicable minimum subscription amounts.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3720,"The applicable Order Cut-off Time for an exchange will be the 
earlier of the Order Cut-off Times of the two AB funds or share 
classes that are associated with the exchange.  If the earlier 
Order Cut-off Time is not met, the exchange will not be 
considered for acceptance until the next common Business 
Day of the two AB funds. Following receipt and acceptance by 
the Management Company, or its agent, of a valid and 
complete exchange order, exchanges will be effected, in each 
case, at the Net Asset Value as next determined in accordance 
with the terms set out in ""Additional Information—
Determination of the Net Asset Value of the Shares"" below.  
Exchanges involving other AB funds will be effected by means 
of a redemption of the original Shares and a subscription for 
and purchase of the Shares to be acquired upon exchange. 
Each side of an exchange transaction will be effected on the 
same trade date. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3721,"The Management Company, on behalf of the Fund and the 
Distributor, reserves the right (i) to reject any order to acquire 
shares through exchange at any time or (ii) otherwise modify, 
restrict or terminate the exchange privilege generally at any 
time on 60 days' notice to Shareholders. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3722,"In respect of any exchange order involving a class of Shares 
possessing a contingent deferred sales charge, the holding 
period for purposes of calculating the contingent deferred sales 
charge due upon redemption, if applicable, relating to Shares 
acquired in an exchange, will be based on the date of purchase 
of the original Shares.  The contingent deferred sales charge 
on Shares acquired in an exchange will be calculated based on 
the contingent deferred sales charge schedule associated to 
the original Shares at the time of purchase.  Such restrictions 
may be waived under certain circumstances in the sole 
discretion of the Management Company, on behalf of the Fund. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3723,"Exchanges will be effected in a manner such that upon 
redemption of the Shares acquired in the exchange, the 
redemption price will be paid in the Offered Currency in which 
the Shareholder's AB funds account is denominated.  In the 
event a Shareholder exchanges original Shares into Shares 
that are not available in the Offered Currency in which the 
Shareholder's AB funds account is denominated, a second AB 
funds account denominated in the second Offered Currency 
will be opened in order for such Shares to be recorded therein.  
Shareholders will be issued a second AB funds account 
number and receive separate account statements with respect 
to any such second account.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3724,II-9 ,II-9 
3725,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
3726,"Transaction costs, if any, incurred in respect of an 
exchange of Shares of the same class but involving 
different currencies will be reflected in the amount of 
Shares realized by the investor upon exchange. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3727,"Investors interested in exchanging Shares should contact 
their financial adviser or the Distributor for more information 
about the exchange option.  Neither the Fund nor the 
Management Company currently charges any 
administrative or other fees in connection with exchanges.  
However, investors who hold their Shares through accounts 
with a dealer should contact such dealer to determine if any 
such fees apply in connection with exchanges. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3728,Conversion of CDSC Shares ,轉換 B 類 CDSC 股份 
3729,Conversion of B CDSC Shares ,轉換 B 類 CDSC 股份 
3730,"Conversion at Shareholder’s Option 
Shareholders of B CDSC Shares for which a conversion 
right has been provided in Section I (“Eligible B CDSC 
Shares”) will have the right to convert such Eligible B CDSC 
Shares to such other share classes of the same Portfolio as 
stipulated in Section I after such Eligible B CDSC Shares 
have been held for the number of years specified in Section 
I without charge from either the Fund or the Management 
Company.  Except as otherwise described below, 
conversions will be effected only at the election of the 
registered holder of such Eligible B CDSC Shares (i.e., the 
owner of such Eligible B CDSC Shares as reflected in the 
Fund's shareholder register).  Accordingly, investors who 
hold their Eligible B CDSC Shares through accounts with a 
financial intermediary should contact such financial 
intermediary for more information about converting their 
Eligible B CDSC Shares.   ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3731,"Automatic Conversion 
Effective January 2021, Eligible B CDSC Shares held in the 
name of a single investor (and not in an omnibus account) 
will be converted automatically into such other share 
classes of the same Portfolio as specified in Section I after 
such Eligible B CDSC Shares have been held for the 
number of years specified in Section I. Shares held through 
a financial intermediary in an omnibus account for which the 
recordkeeping on the underlying investors is managed by 
the financial intermediary will continue to be converted 
based on the instructions of the registered owner of the 
omnibus account. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3732,"Notwithstanding the above, as of the Effective Date (as 
defined below), Eligible B CDSC Shares held by 
Shareholders residing in Taiwan will be converted 
automatically into such other share classes of the same 
Portfolio as specified in Section I after such Eligible B 
CDSC Shares have been held for the number of years 
specified in Section I. The Effective Date for these purposes 
shall be 30 April 2016 or such later date as is required by 
an account holder/financial intermediary to implement the 
relevant enhancements necessary to process the automatic 
conversion. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3733," 
 
 
 
Conversion of E CDSC Shares ",轉換 E 類 CDSC 股份 
3734,"Automatic Conversion  
E CDSC Shares, if held directly, will be converted automatically 
into such other share classes of the same Portfolio as specified 
in Section I after such E CDSC Shares have been held for the 
number of years specified in Section I.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3735,"E CDSC Shares, if held through a financial intermediary in an 
omnibus account for which the recordkeeping on the 
underlying investors is maintained by the financial 
intermediary, will be converted based on the instructions of the 
registered owner of the omnibus account after such E CDSC 
Shares have been held for the number of years specfiied in 
Section I.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
3736,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
3737,"Taxation 
The conversion of Eligible B CDSC Shares and E CDSC 
Shares may give rise to a tax liability for Shareholders in 
certain jurisdictions. Shareholders should consult their tax 
advisor as to the tax implications of such conversion under 
the laws of their home jurisdiction. ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
3738,II-10 ,II-10 
3739," 
 
 
 
 
 
 
 
 
 
Determination of Net Asset Value ","投資者應留意認購章程第 II 部分「如何購買股份」和「如何贖
回股份」分節載列的認購和贖回程序，尤其是於交易日接受認
購股份指示或贖回股份要求的截止時間。認購股份指示和贖回
要求須送至管理公司的過戶代理部，相關詳情載列於認購章程
目錄章節，另外，也可直接向融通代理的上述辦事處下達贖回
要求，收件人：Managing Director of AllianceBernstein Global "
